Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2017,March,1 North West Metro, Melbourne,"28,093","17,652.9"
2017,March,1 North West Metro, Melton,"8,968","6,034.3"
2017,March,1 North West Metro, Moonee Valley,"7,759","6,186.9"
2017,March,1 North West Metro, Moreland,"11,801","6,668.2"
2017,March,1 North West Metro, Nillumbik,"2,171","3,359.7"
2017,March,1 North West Metro, Whittlesea,"12,870","5,967.0"
2017,March,1 North West Metro, Wyndham,"11,966","4,963.7"
2017,March,1 North West Metro, Yarra,"11,310","11,782.0"
2017,March,1 North West Metro,Total,"159,715","7,526.5"
2017,March,2 Eastern, Alpine,280,"2,215.5"
2017,March,2 Eastern, Bass Coast,"1,986","5,775.6"
2017,March,2 Eastern, Baw Baw,"2,894","5,710.8"
2017,March,2 Eastern, Benalla,"1,000","7,156.1"
2017,March,2 Eastern, Boroondara,"7,007","3,899.8"
2017,March,2 Eastern, East Gippsland,"2,952","6,398.5"
2017,March,2 Eastern, Greater Shepparton,"6,307","9,621.1"
2017,March,2 Eastern, Indigo,350,"2,142.9"
2017,March,2 Eastern, Knox,"9,324","5,761.7"
2017,March,2 Eastern, Latrobe,"10,348","13,814.3"
2017,March,2 Eastern, Manningham,"4,064","3,270.3"
2017,March,2 Eastern, Mansfield,470,"5,343.3"
2017,March,2 Eastern, Maroondah,"7,070","6,078.0"
2017,March,2 Eastern, Mitchell,"3,141","7,321.2"
2017,March,2 Eastern, Moira,"1,377","4,643.9"
2017,March,2 Eastern, Monash,"9,028","4,584.6"
2017,March,2 Eastern, Murrindindi,524,"3,681.3"
2017,March,2 Eastern, South Gippsland,"1,145","3,905.1"
2017,March,2 Eastern, Strathbogie,462,"4,406.7"
2017,March,2 Eastern, Towong,174,"2,881.3"
2017,March,2 Eastern, Wangaratta,"1,877","6,505.4"
2017,March,2 Eastern, Wellington,"3,224","7,360.6"
2017,March,2 Eastern, Whitehorse,"6,614","3,817.3"
2017,March,2 Eastern, Wodonga,"2,532","6,204.1"
2017,March,2 Eastern, Yarra Ranges,"6,435","4,102.1"
2017,March,2 Eastern,Total,"90,585","5,396.3"
2017,March,3 Southern Metro, Bayside,"4,127","3,957.5"
2017,March,3 Southern Metro, Cardinia,"5,199","5,077.0"
2017,March,3 Southern Metro, Casey,"18,111","5,542.4"
2017,March,3 Southern Metro, Frankston,"12,353","8,778.6"
2017,March,3 Southern Metro, Glen Eira,"5,873","3,877.7"
2017,March,3 Southern Metro, Greater Dandenong,"15,455","9,451.6"
2017,March,3 Southern Metro, Kingston,"8,381","5,203.9"
2017,March,3 Southern Metro, Mornington Peninsula,"8,942","5,458.0"
2017,March,3 Southern Metro, Port Phillip,"10,493","9,482.5"
2017,March,3 Southern Metro, Stonnington,"9,108","8,005.5"
2017,March,3 Southern Metro,Total,"98,042","6,372.7"
2017,March,4 Western, Ararat,909,"7,732.2"
2017,March,4 Western, Ballarat,"9,218","8,743.9"
2017,March,4 Western, Buloke,141,"2,272.4"
2017,March,4 Western, Campaspe,"2,741","7,290.5"
2017,March,4 Western, Central Goldfields,950,"7,225.4"
2017,March,4 Western, Colac-Otway,"1,616","7,540.8"
2017,March,4 Western, Corangamite,801,"4,941.4"
2017,March,4 Western, Gannawarra,528,"4,995.7"
2017,March,4 Western, Glenelg,"1,380","7,007.9"
2017,March,4 Western, Golden Plains,590,"2,614.3"
2017,March,4 Western, Greater Bendigo,"8,032","7,040.0"
2017,March,4 Western, Greater Geelong,"18,085","7,359.8"
2017,March,4 Western, Hepburn,723,"4,626.0"
2017,March,4 Western, Hindmarsh,288,"5,036.7"
2017,March,4 Western, Horsham,"1,756","8,830.8"
2017,March,4 Western, Loddon,393,"5,235.1"
2017,March,4 Western, Macedon Ranges,"1,644","3,395.2"
2017,March,4 Western, Mildura,"5,216","9,459.2"
2017,March,4 Western, Moorabool,"1,981","5,923.7"
2017,March,4 Western, Mount Alexander,908,"4,705.4"
2017,March,4 Western, Moyne,488,"2,906.0"
2017,March,4 Western, Northern Grampians,933,"8,101.1"
2017,March,4 Western, Pyrenees,360,"4,892.6"
2017,March,4 Western, Queenscliffe,135,"4,562.4"
2017,March,4 Western, Southern Grampians,"1,025","6,357.4"
2017,March,4 Western, Surf Coast,"1,068","3,407.0"
2017,March,4 Western, Swan Hill,"1,753","8,408.9"
2017,March,4 Western, Warrnambool,"2,589","7,489.4"
2017,March,4 Western, West Wimmera,123,"3,158.7"
2017,March,4 Western, Yarriambiack,330,"4,937.2"
2017,March,4 Western,Total,"66,704","6,795.8"
2017,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,125",
2017,March,Justice Institutions and Immigration Facilities,Total,"1,125",
2017,March,Unincorporated Vic, Unincorporated Vic,126,
2017,March,Unincorporated Vic,Total,126,
2016,March,1 North West Metro, Banyule,"7,224","5,668.2"
2016,March,1 North West Metro, Brimbank,"14,970","7,331.4"
2016,March,1 North West Metro, Darebin,"11,893","7,666.7"
2016,March,1 North West Metro, Hobsons Bay,"5,543","5,931.8"
2016,March,1 North West Metro, Hume,"15,600","7,534.7"
2016,March,1 North West Metro, Maribyrnong,"7,178","8,256.1"
2016,March,1 North West Metro, Melbourne,"25,669","17,570.0"
2016,March,1 North West Metro, Melton,"8,794","6,218.4"
2016,March,1 North West Metro, Moonee Valley,"7,066","5,750.7"
2016,March,1 North West Metro, Moreland,"11,174","6,485.4"
2016,March,1 North West Metro, Nillumbik,"2,092","3,259.9"
2016,March,1 North West Metro, Whittlesea,"11,095","5,358.4"
2016,March,1 North West Metro, Wyndham,"11,950","5,264.1"
2016,March,1 North West Metro, Yarra,"10,383","11,177.3"
2016,March,1 North West Metro,Total,"150,631","7,355.0"
2016,March,2 Eastern, Alpine,328,"2,607.7"
2016,March,2 Eastern, Bass Coast,"2,023","6,045.3"
2016,March,2 Eastern, Baw Baw,"2,652","5,379.7"
2016,March,2 Eastern, Benalla,891,"6,372.5"
2016,March,2 Eastern, Boroondara,"6,152","3,470.3"
2016,March,2 Eastern, East Gippsland,"3,278","7,188.6"
2016,March,2 Eastern, Greater Shepparton,"5,670","8,713.4"
2016,March,2 Eastern, Indigo,383,"2,369.3"
2016,March,2 Eastern, Knox,"7,685","4,792.6"
2016,March,2 Eastern, Latrobe,"9,373","12,560.6"
2016,March,2 Eastern, Manningham,"3,403","2,776.4"
2016,March,2 Eastern, Mansfield,416,"4,795.9"
2016,March,2 Eastern, Maroondah,"6,064","5,282.2"
2016,March,2 Eastern, Mitchell,"2,980","7,130.0"
2016,March,2 Eastern, Moira,"1,189","4,032.4"
2016,March,2 Eastern, Monash,"7,876","4,088.8"
2016,March,2 Eastern, Murrindindi,569,"4,049.2"
2016,March,2 Eastern, South Gippsland,893,"3,066.4"
2016,March,2 Eastern, Strathbogie,400,"3,862.1"
